url_path,views_total,views_unique
/kingsdigitallab/sdlc-for-rse/wiki,17,9
/kingsdigitallab/sdlc-for-rse/tree/stats/kingsdigitallab/sdlc-for-rse,9,5
/kingsdigitallab/sdlc-for-rse,8,6
/kingsdigitallab/sdlc-for-rse/wiki/I1:-Product-Quote,3,2
/kingsdigitallab/sdlc-for-rse/pulse,3,1
/kingsdigitallab/sdlc-for-rse/tree/master,3,1
/kingsdigitallab/sdlc-for-rse/wiki/F1:-Feasibility,2,2
/kingsdigitallab/sdlc-for-rse/wiki/J1:-Statement-of-work,2,2
/kingsdigitallab/sdlc-for-rse/tree/stats,2,1
/kingsdigitallab/sdlc-for-rse/actions,1,1
