time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-17 00:00:00+00:00,0,0,27,5
2021-06-21 00:00:00+00:00,0,0,1,1
2021-06-22 00:00:00+00:00,0,0,1,1
2021-06-23 00:00:00+00:00,0,0,6,3
2021-06-24 00:00:00+00:00,0,0,9,5
2021-06-25 00:00:00+00:00,0,0,1,1
2021-06-28 00:00:00+00:00,0,0,1,1
2021-06-30 00:00:00+00:00,14,14,154,7
2021-07-01 00:00:00+00:00,5,5,33,7
2021-07-02 00:00:00+00:00,1,1,17,6
2021-07-03 00:00:00+00:00,2,2,0,0
2021-07-04 00:00:00+00:00,2,2,2,1
2021-07-05 00:00:00+00:00,5,5,1,1
2021-07-06 00:00:00+00:00,2,2,2,2
2021-07-07 00:00:00+00:00,1,1,3,1
2021-07-08 00:00:00+00:00,2,2,1,1
2021-07-09 00:00:00+00:00,4,4,0,0
2021-07-10 00:00:00+00:00,2,2,0,0
2021-07-11 00:00:00+00:00,5,5,0,0
2021-07-12 00:00:00+00:00,4,4,4,2
2021-07-13 00:00:00+00:00,4,4,0,0
2021-07-14 00:00:00+00:00,1,1,6,2
2021-07-15 00:00:00+00:00,1,1,0,0
2021-07-16 00:00:00+00:00,5,5,11,2
2021-07-17 00:00:00+00:00,4,4,0,0
2021-07-18 00:00:00+00:00,2,2,1,1
2021-07-19 00:00:00+00:00,3,3,5,3
2021-07-20 00:00:00+00:00,4,4,7,2
2021-07-21 00:00:00+00:00,6,6,1,1
2021-07-22 00:00:00+00:00,5,5,2,2
2021-07-23 00:00:00+00:00,3,3,2,1
2021-07-24 00:00:00+00:00,4,4,2,1
2021-07-25 00:00:00+00:00,2,2,11,2
2021-07-26 00:00:00+00:00,5,5,5,2
2021-07-27 00:00:00+00:00,2,2,1,1
2021-07-28 00:00:00+00:00,4,4,4,2
2021-07-29 00:00:00+00:00,2,2,40,14
2021-07-30 00:00:00+00:00,1,1,10,8
2021-07-31 00:00:00+00:00,3,3,0,0
2021-08-01 00:00:00+00:00,3,3,0,0
2021-08-02 00:00:00+00:00,2,2,2,1
2021-08-03 00:00:00+00:00,2,2,3,2
2021-08-04 00:00:00+00:00,1,1,2,1
2021-08-05 00:00:00+00:00,1,1,0,0
2021-08-06 00:00:00+00:00,6,4,0,0
2021-08-07 00:00:00+00:00,4,4,0,0
2021-08-08 00:00:00+00:00,4,4,0,0
2021-08-09 00:00:00+00:00,3,3,0,0
2021-08-10 00:00:00+00:00,1,1,0,0
2021-08-11 00:00:00+00:00,6,6,1,1
2021-08-12 00:00:00+00:00,1,1,0,0
2021-08-14 00:00:00+00:00,3,3,0,0
2021-08-15 00:00:00+00:00,4,4,0,0
2021-08-16 00:00:00+00:00,3,3,0,0
2021-08-17 00:00:00+00:00,3,3,0,0
2021-08-18 00:00:00+00:00,3,3,0,0
2021-08-19 00:00:00+00:00,3,3,4,3
2021-08-20 00:00:00+00:00,3,3,0,0
2021-08-21 00:00:00+00:00,2,2,0,0
2021-08-22 00:00:00+00:00,2,2,0,0
2021-08-23 00:00:00+00:00,1,1,0,0
2021-08-24 00:00:00+00:00,2,2,0,0
2021-08-25 00:00:00+00:00,3,3,0,0
2021-08-26 00:00:00+00:00,3,3,0,0
2021-08-27 00:00:00+00:00,2,2,0,0
2021-08-28 00:00:00+00:00,2,2,0,0
2021-08-29 00:00:00+00:00,2,2,0,0
2021-08-30 00:00:00+00:00,2,2,0,0
2021-08-31 00:00:00+00:00,2,2,0,0
2021-09-01 00:00:00+00:00,1,1,0,0
2021-09-02 00:00:00+00:00,1,1,1,1
2021-09-03 00:00:00+00:00,1,1,0,0
2021-09-04 00:00:00+00:00,1,1,0,0
2021-09-05 00:00:00+00:00,2,2,5,1
2021-09-06 00:00:00+00:00,3,3,8,7
2021-09-07 00:00:00+00:00,2,2,0,0
2021-09-08 00:00:00+00:00,0,0,1,1
